OBS_ID START.[UT] END.[UT] MIDTIME EXP_TIME.[s] FILTER HELIO.[AU] HELIOV.[km/s] RANGE.[AU] PHASE[deg] MODCOR gOH[ph/s/molec] PHASECOR[0deg] Z[molec/cm2/s]
00030512001 2006-05-03T19:05:28 2006-05-03T19:06:00 2453859.2956481487 32.260535 U -11.423004 0.10812829 -10.827840 57.328793 0 2.2871213e-06 0.34089665 6.0301429e+21
00030512001 2006-05-03T19:09:04 2006-05-03T19:09:37 2453859.2981539359 32.249669 V -11.422439 0.10811210 -9.2182285 57.332690 0 2.2873472e-06 0.34090164 6.0298492e+21
00030512001 2006-05-03T19:04:15 2006-05-03T19:05:22 2453859.2950057876 65.715520 UVW1 -11.423149 0.10813244 -11.240465 57.327794 0 2.2870633e-06 0.34089537 6.0302182e+21
00030512001 2006-05-03T19:06:46 2006-05-03T19:09:00 2453859.2971412041 133.78669 UVW2 -11.422667 0.10811864 -9.8687643 57.331115 0 2.2872559e-06 0.34089962 6.0299679e+21
00030516001 2006-05-03T20:44:35 2006-05-03T20:44:57 2453859.3644212969 22.422758 B -11.407480 0.10772125 -9.6836622 57.495124 0 2.2933413e-06 0.34111433 6.0220758e+21
00030516001 2006-05-03T20:47:09 2006-05-03T20:48:01 2453859.3663773155 52.143993 UVM2 -11.407038 0.10771046 -8.4239146 57.497855 0 2.2935188e-06 0.34111797 6.0218461e+21
00030516001 2006-05-03T20:44:07 2006-05-03T20:44:30 2453859.3641030099 22.411873 U -11.407552 0.10772301 -9.8886507 57.494679 0 2.2933125e-06 0.34111374 6.0221131e+21
00030516001 2006-05-03T20:46:41 2006-05-03T20:47:04 2453859.3658854170 22.411913 V -11.407149 0.10771317 -8.7407152 57.497168 0 2.2934742e-06 0.34111706 6.0219039e+21
00030516001 2006-05-03T20:43:16 2006-05-03T20:44:03 2453859.3636516212 46.029083 UVW1 -11.407654 0.10772550 -10.179362 57.494049 0 2.2932715e-06 0.34111290 6.0221661e+21
00030516001 2006-05-03T20:45:04 2006-05-03T20:46:38 2453859.3651736118 93.781993 UVW2 -11.407310 0.10771710 -9.1991438 57.496174 0 2.2934096e-06 0.34111573 6.0219874e+21
00030521001 2006-05-03T22:18:22 2006-05-03T22:18:59 2453859.4296354172 37.179432 B -11.392729 0.10733565 -10.730493 57.657285 0 2.2992754e-06 0.34133291 6.0144102e+21
00030521001 2006-05-03T22:22:27 2006-05-03T22:24:02 2453859.4328067135 94.410473 UVM2 -11.392011 0.10731872 -8.7893215 57.661786 0 2.2995649e-06 0.34133903 6.0140370e+21
00030521001 2006-05-03T22:17:39 2006-05-03T22:18:16 2453859.4291377319 37.179432 U -11.392842 0.10733921 -11.035460 57.656411 0 2.2992300e-06 0.34133172 6.0144688e+21
00030521001 2006-05-03T22:21:42 2006-05-03T22:22:20 2453859.4319560193 37.168567 V -11.392204 0.10732264 -9.3098060 57.660696 0 2.2994872e-06 0.34133755 6.0141371e+21
00030521001 2006-05-03T22:16:19 2006-05-03T22:17:34 2453859.4284317135 74.576016 UVW1 -11.393002 0.10734425 -11.468088 57.655170 0 2.2991656e-06 0.34133003 6.0145519e+21
00030521001 2006-05-03T22:19:06 2006-05-03T22:21:39 2453859.4308159729 152.77487 UVW2 -11.392462 0.10732788 -10.007326 57.659235 0 2.2993831e-06 0.34133556 6.0142713e+21
00030524001 2006-05-03T23:49:22 2006-05-03T23:49:39 2453859.4927141210 17.493015 B -11.378433 0.10696890 -13.146014 57.816423 0 2.3050486e-06 0.34155018 6.0069812e+21
00030524001 2006-05-03T23:51:26 2006-05-03T23:52:01 2453859.4942534729 35.538653 UVM2 -11.378084 0.10695853 -12.214266 57.819080 0 2.3051899e-06 0.34155382 6.0067996e+21
00030524001 2006-05-03T23:48:59 2006-05-03T23:49:17 2453859.4924537041 17.492995 U -11.378493 0.10697113 -13.269841 57.815830 0 2.3050247e-06 0.34154937 6.0070119e+21
00030524001 2006-05-03T23:51:02 2006-05-03T23:51:20 2453859.4938773154 17.503861 V -11.378169 0.10696087 -12.455864 57.818489 0 2.3051554e-06 0.34155301 6.0068440e+21
00030524001 2006-05-03T23:48:19 2006-05-03T23:48:54 2453859.4920891207 35.203201 UVW1 -11.378575 0.10697424 -13.443198 57.815001 0 2.3049913e-06 0.34154824 6.0070548e+21
00030524001 2006-05-03T23:49:46 2006-05-03T23:50:59 2453859.4933159724 72.774113 UVW2 -11.378297 0.10696436 -12.816403 57.817608 0 2.3051038e-06 0.34155180 6.0069102e+21
00030532001 2006-05-04T01:48:33 2006-05-04T01:49:11 2453859.5756018525 37.179432 B -11.359605 0.10650196 -4.1709512 58.005625 0 2.3126861e-06 0.34180760 5.9971964e+21
00030532001 2006-05-04T01:52:35 2006-05-04T01:54:02 2453859.5786863435 86.918853 UVM2 -11.358903 0.10649524 -3.6176883 58.010239 0 2.3129716e-06 0.34181382 5.9968319e+21
00030532001 2006-05-04T01:47:50 2006-05-04T01:48:28 2453859.5751041672 37.190278 U -11.359718 0.10650346 -4.3971780 58.005009 0 2.3126400e-06 0.34180676 5.9972552e+21
00030532001 2006-05-04T01:51:52 2006-05-04T01:52:30 2453859.5779050933 37.179413 V -11.359081 0.10649672 -3.6841713 58.009001 0 2.3128993e-06 0.34181215 5.9969242e+21
00030532001 2006-05-04T01:46:31 2006-05-04T01:47:45 2453859.5743981488 73.598776 UVW1 -11.359878 0.10650559 -4.7181042 58.004135 0 2.3125747e-06 0.34180558 5.9973387e+21
00030532001 2006-05-04T01:49:17 2006-05-04T01:51:48 2453859.5767650469 150.77587 UVW2 -11.359340 0.10649888 -3.7811872 58.007195 0 2.3127937e-06 0.34180971 5.9970589e+21
00030536001 2006-05-04T03:24:20 2006-05-04T03:24:58 2453859.6421180563 37.190278 B -11.344461 0.10611433 -4.4940117 58.173132 0 2.3188562e-06 0.34203194 5.9893266e+21
00030536001 2006-05-04T03:28:25 2006-05-04T03:30:01 2453859.6452893522 96.438793 UVM2 -11.343738 0.10610663 -3.4223792 58.177288 0 2.3191516e-06 0.34203749 5.9889509e+21
00030536001 2006-05-04T03:23:38 2006-05-04T03:24:16 2453859.6416319450 37.179432 U -11.344571 0.10611551 -4.6582766 58.172495 0 2.3188110e-06 0.34203109 5.9893842e+21
00030536001 2006-05-04T03:27:42 2006-05-04T03:28:20 2453859.6444560187 37.168567 V -11.343928 0.10610866 -3.7039762 58.176196 0 2.3190740e-06 0.34203603 5.9890496e+21
00030536001 2006-05-04T03:22:16 2006-05-04T03:23:33 2453859.6409085654 75.553277 UVW1 -11.344736 0.10611727 -4.9027183 58.171547 0 2.3187436e-06 0.34202983 5.9894699e+21
00030536001 2006-05-04T03:25:04 2006-05-04T03:27:38 2453859.6432986120 153.78963 UVW2 -11.344191 0.10611147 -4.0950827 58.174679 0 2.3189662e-06 0.34203401 5.9891867e+21
00030541001 2006-05-04T05:00:36 2006-05-04T05:01:19 2453859.7089988431 42.109196 B -11.329201 0.10572611 -4.3038093 58.341958 0 2.3250985e-06 0.34225727 5.9813969e+21
00030541001 2006-05-04T05:05:11 2006-05-04T05:07:01 2453859.7125694454 109.95665 UVM2 -11.328386 0.10571889 -3.5760617 58.347101 0 2.3254331e-06 0.34226416 5.9809731e+21
00030541001 2006-05-04T04:59:48 2006-05-04T05:00:31 2453859.7084432878 42.098311 U -11.329328 0.10572723 -4.4170406 58.341158 0 2.3250464e-06 0.34225620 5.9814628e+21
00030541001 2006-05-04T05:04:23 2006-05-04T05:05:06 2453859.7116261581 42.087445 V -11.328601 0.10572080 -3.7683192 58.345742 0 2.3253447e-06 0.34226234 5.9810851e+21
00030541001 2006-05-04T04:58:16 2006-05-04T04:59:43 2453859.7076331023 85.401918 UVW1 -11.329513 0.10572994 -4.8111721 58.340133 0 2.3249705e-06 0.34225483 5.9815590e+21
00030541001 2006-05-04T05:01:25 2006-05-04T05:04:19 2453859.7103240746 173.75961 UVW2 -11.328899 0.10572343 -4.0337053 58.343867 0 2.3252226e-06 0.34225983 5.9812396e+21
00030543001 2006-05-04T06:21:35 2006-05-04T06:22:18 2453859.7652372690 42.098330 B -11.316347 0.10538401 -10.132565 58.497703 0 2.3303763e-06 0.34246775 5.9747167e+21
00030543001 2006-05-04T06:26:11 2006-05-04T06:28:01 2453859.7688194448 110.01011 UVM2 -11.315527 0.10536591 -7.8730543 58.502758 0 2.3307135e-06 0.34247466 5.9742908e+21
00030543001 2006-05-04T06:20:48 2006-05-04T06:21:30 2453859.7646875004 42.098291 U -11.316472 0.10538679 -10.479339 58.496927 0 2.3303246e-06 0.34246669 5.9747821e+21
00030543001 2006-05-04T06:25:23 2006-05-04T06:26:06 2453859.7678761575 42.087445 V -11.315743 0.10537068 -8.4680467 58.501427 0 2.3306247e-06 0.34247284 5.9744030e+21
00030543001 2006-05-04T06:19:16 2006-05-04T06:20:43 2453859.7638831027 85.401918 UVW1 -11.316656 0.10539087 -10.986377 58.495788 0 2.3302489e-06 0.34246513 5.9748777e+21
00030543001 2006-05-04T06:22:26 2006-05-04T06:25:20 2453859.7665856490 173.78089 UVW2 -11.316038 0.10537720 -9.2820540 58.499606 0 2.3305033e-06 0.34247035 5.9745564e+21
00030546001 2006-05-04T08:00:35 2006-05-04T08:01:18 2453859.8339872691 42.109176 B -11.300601 0.10498943 -8.9561006 58.671647 0 2.3368664e-06 0.34270959 5.9665341e+21
00030546001 2006-05-04T08:05:11 2006-05-04T08:07:01 2453859.8375694454 110.56159 UVM2 -11.299780 0.10497452 -6.8516448 58.676289 0 2.3372056e-06 0.34271617 5.9661075e+21
00030546001 2006-05-04T07:59:48 2006-05-04T08:00:30 2453859.8334375005 42.098311 U -11.300727 0.10499172 -9.2790785 58.670934 0 2.3368143e-06 0.34270858 5.9665996e+21
00030546001 2006-05-04T08:04:23 2006-05-04T08:05:05 2453859.8366203709 42.098330 V -11.299997 0.10497847 -7.4092068 58.675059 0 2.3371157e-06 0.34271443 5.9662205e+21
00030546001 2006-05-04T07:58:17 2006-05-04T07:59:43 2453859.8326388896 85.347650 UVW1 -11.300910 0.10499678 -9.7714385 58.669559 0 2.3367387e-06 0.34270663 5.9666948e+21
00030546001 2006-05-04T08:01:25 2006-05-04T08:04:19 2453859.8353240746 173.79167 UVW2 -11.300294 0.10498387 -8.1707545 58.673379 0 2.3369930e-06 0.34271204 5.9663749e+21
00030549001 2006-05-04T09:39:52 2006-05-04T09:40:40 2453859.9029629636 47.028054 B -11.284770 0.10459706 -7.6376003 58.846735 0 2.3434188e-06 0.34296433 5.9583076e+21
00030549001 2006-05-04T09:44:58 2006-05-04T09:47:01 2453859.9069386581 123.11717 UVM2 -11.283857 0.10458373 -5.5961618 58.851773 0 2.3437979e-06 0.34297187 5.9578329e+21
